
File                                                                     Line Match                                    
----                                                                     ---- -----                                    
D:\Ritesh\mwp\client\copy_images.js                                         5 const destFile = 'd:\\Ritesh\\rhoseatt...
D:\Ritesh\mwp\client\package-lock.json                                      2 "name": "rhoseatte",                     
D:\Ritesh\mwp\client\package-lock.json                                      8 "name": "rhoseatte",                     
D:\Ritesh\mwp\client\public\banner-1.svg                                   89 <text x="800" y="491" font-family="Ari...
D:\Ritesh\mwp\client\public\banner-2.svg                                   59 <text x="550" y="120" font-family="Ari...
D:\Ritesh\mwp\client\public\banner-2.svg                                   94 <text x="800" y="491" font-family="Ari...
D:\Ritesh\mwp\client\public\banner-sm1.svg                                 34 <text x="160" y="86" font-family="Aria...
D:\Ritesh\mwp\client\public\banner-sm1.svg                                 84 <text x="400" y="990" font-family="Ari...
D:\Ritesh\mwp\client\public\banner-sm2.svg                                 82 <text x="400" y="989" font-family="Ari...
D:\Ritesh\mwp\client\src\app\auth\page.js                                 405 <p className="text-[13px] text-stone f...
D:\Ritesh\mwp\client\src\app\become-partner\page.jsx                       21 hero_title: "Become an rhoseatte Partn...
D:\Ritesh\mwp\client\src\app\become-partner\page.jsx                       26 benefits_title: "Why Join rhoseatte?",   
D:\Ritesh\mwp\client\src\app\become-partner\page.jsx                       46 "Thank you for your interest in rhosea...
D:\Ritesh\mwp\client\src\app\become-partner\page.jsx                      283 rhoseatte                                
D:\Ritesh\mwp\client\src\app\cart\page.js                                  29 if (!image) return "/rhoseatte_lavende...
D:\Ritesh\mwp\client\src\app\cart\page.js                                  46 return "/rhoseatte_lavender_perfume.png";
D:\Ritesh\mwp\client\src\app\cart\page.js                                  55 return "/rhoseatte_lavender_perfume.png";
D:\Ritesh\mwp\client\src\app\checkout\page.js                              32 if (!image) return "/rhoseatte_lavende...
D:\Ritesh\mwp\client\src\app\contact\page.js                              123 alt="Contact RHOSEATTE"                  
D:\Ritesh\mwp\client\src\app\contact\page.js                              378 alt="RHOSEATTE Location"                 
D:\Ritesh\mwp\client\src\app\contact\page.js                              399 <p className="text-[13px] text-noir fo...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    190 alt="Rhoseatte Luxury Corporate Perfum...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    242 <Image src="/logo.png" alt="RHOSEATTE"...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    251 Rhoseatte was born not in a boardroom,...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    300 &quot;When you choose Rhoseatte, you d...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    424 {/* ── 4. THE RHOSEATTE PROCESS (Inter...
